match_id,match_no,date,group,team_a_id,team_a_name,team_a_goals,team_b_id,team_b_name,team_b_goals,total_goals,goal_diff,winner_team_id,result_1x2,team_a_possession,team_b_possession,team_a_shots,team_b_shots,team_a_shots_on_target,team_b_shots_on_target,team_a_xg,team_b_xg,total_xg,xg_diff,team_a_big_chances,team_b_big_chances,team_a_corners,team_b_corners,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_formation,team_b_formation,source_url,data_status
2026-06-14_match-11,11,2026-06-14,E,CIV,Costa de Marfil,1,ECU,Ecuador,0,1,1,CIV,1,49.0,51.0,16,10,4,1,1.51,0.52,2.0300000000000002,0.99,14,6,3,5,3,1,0,0,4-4-2,3-4-3,https://www.foxsports.com/soccer/fifa-world-cup-men-ivory-coast-vs-ecuador-jun-14-2026-game-boxscore-647626,verified
2026-06-14_match-12,12,2026-06-14,F,SWE,Suecia,5,TUN,Túnez,1,6,4,SWE,1,49.0,51.0,13,5,8,2,1.51,0.3,1.81,1.21,11,3,4,2,0,1,0,0,3-4-1-2,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-sweden-vs-tunisia-jun-14-2026-game-boxscore-647627,verified
2026-06-15_match-13,13,2026-06-15,H,ESP,España,0,CPV,Cabo Verde,0,0,0,,X,74.0,26.0,23,6,8,1,1.55,0.38,1.9300000000000002,1.17,16,6,11,1,1,1,0,0,4-1-2-3,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-spain-vs-cape-verde-jun-15-2026-game-boxscore-647628,verified
2026-06-15_match-14,14,2026-06-15,G,BEL,Bélgica,1,EGY,Egipto,1,2,0,,X,53.0,47.0,15,14,3,4,0.83,0.98,1.81,0.15000000000000002,10,9,2,7,2,2,0,0,4-2-3-1,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-belgium-vs-egypt-jun-15-2026-game-boxscore-647629,verified
2026-06-15_match-15,15,2026-06-15,H,KSA,Arabia Saudí,1,URU,Uruguay,1,2,0,,X,35.0,65.0,7,27,3,10,1.0,1.88,2.88,0.8799999999999999,3,16,4,14,1,0,0,0,4-4-2,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-saudi-arabia-vs-uruguay-jun-15-2026-game-boxscore-647630,verified
2026-06-15_match-16,16,2026-06-15,G,IRI,Irán,2,NZL,Nueva Zelanda,2,4,0,,X,47.0,53.0,17,13,4,8,1.46,0.85,2.31,0.61,12,9,4,1,1,0,0,0,4-4-2,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-iran-vs-new-zealand-jun-15-2026-game-boxscore-647631,verified
2026-06-16_match-17,17,2026-06-16,I,FRA,Francia,3,SEN,Senegal,1,4,2,FRA,1,54.0,46.0,11,6,8,2,1.9,0.35,2.25,1.5499999999999998,9,5,6,4,0,0,0,0,4-2-3-1,4-3-3,https://www.foxsports.com/soccer/fifa-world-cup-men-france-vs-senegal-jun-16-2026-game-boxscore-647633,verified
2026-06-16_match-18,18,2026-06-16,I,IRQ,Irak,1,NOR,Noruega,4,5,3,NOR,2,37.0,63.0,11,12,1,6,0.67,2.21,2.88,1.54,5,8,2,5,1,0,0,0,4-4-2,4-3-3,https://www.foxsports.com/soccer/fifa-world-cup-men-iraq-vs-norway-jun-16-2026-game-boxscore-647634,verified
2026-06-16_match-19,19,2026-06-16,J,ARG,Argentina,3,DZA,Argelia,0,3,3,ARG,1,47.0,53.0,9,6,6,0,1.13,0.14,1.27,0.9899999999999999,6,2,2,2,0,0,0,0,4-3-3,4-3-3,https://www.foxsports.com/soccer/fifa-world-cup-men-argentina-vs-algeria-jun-16-2026-game-boxscore-647635,verified
2026-06-17_match-20,20,2026-06-17,J,AUT,Austria,3,JOR,Jordania,1,4,2,AUT,1,62.0,38.0,9,11,3,4,1.65,0.96,2.61,0.69,4,7,4,3,1,0,0,0,4-2-3-1,3-4-3,https://www.foxsports.com/soccer/fifa-world-cup-men-austria-vs-jordan-jun-17-2026-game-boxscore-647632,verified
2026-06-17_match-21,21,2026-06-17,K,POR,Portugal,1,COD,DR Congo,1,2,0,,X,75.0,25.0,9,8,3,2,0.7,0.5,1.2,0.19999999999999996,6,7,5,4,3,1,0,0,4-2-3-1,5-3-2,https://www.foxsports.com/soccer/fifa-world-cup-men-portugal-vs-dr-congo-jun-17-2026-game-boxscore-647636,verified
2026-06-17_match-22,22,2026-06-17,L,ENG,Inglaterra,4,CRO,Croacia,2,6,2,ENG,1,54.0,46.0,20,11,12,5,2.9,0.9,3.8,2.0,14,7,8,2,0,0,0,0,4-2-3-1,3-4-3,https://www.foxsports.com/soccer/fifa-world-cup-men-england-vs-croatia-jun-17-2026-game-boxscore-647637,verified
2026-06-17_match-23,23,2026-06-17,L,GHA,Ghana,1,PAN,Panamá,0,1,1,GHA,1,37.0,63.0,8,11,3,4,1.1,0.7,1.8,0.40000000000000013,7,8,2,2,1,2,0,0,4-2-3-1,3-4-3,https://www.foxsports.com/soccer/fifa-world-cup-men-ghana-vs-panama-jun-17-2026-game-boxscore-647638,verified
2026-06-17_match-24,24,2026-06-17,K,UZB,Uzbekistán,1,COL,Colombia,3,4,2,COL,2,33.0,67.0,7,15,3,6,0.7,1.0,1.7,0.30000000000000004,2,9,3,4,1,1,0,0,3-4-3,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-uzbekistan-vs-colombia-jun-17-2026-game-boxscore-647639,verified
2026-06-18_match-25,25,2026-06-18,A,CZE,República Checa,1,RSA,Sudáfrica,1,2,0,,X,38.0,62.0,12,17,3,5,0.85,1.48,2.33,0.63,9,11,5,5,1,2,0,0,3-4-3,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-czechia-vs-south-africa-jun-18-2026-game-boxscore-647640,verified
2026-06-18_match-26,26,2026-06-18,B,SUI,Suiza,4,BIH,Bosnia y Herzegovina,1,5,3,SUI,1,62.0,38.0,13,4,8,3,2.23,0.27,2.5,1.96,9,3,7,3,1,2,0,1,4-3-3,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-switzerland-vs-bosnia-and-herzegovina-jun-18-2026-game-boxscore-647641,verified
2026-06-18_match-27,27,2026-06-18,B,CAN,Canadá,6,QAT,Catar,0,6,6,CAN,1,78.0,22.0,31,2,10,0,3.36,0.14,3.5,3.2199999999999998,17,1,19,1,1,1,0,2,4-4-2,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-canada-vs-qatar-jun-18-2026-game-boxscore-647642,verified
2026-06-18_match-28,28,2026-06-18,A,MEX,México,1,KOR,Corea del Sur,0,1,1,MEX,1,43.0,57.0,8,8,4,2,0.66,0.53,1.19,0.13,4,4,0,2,0,2,0,0,4-1-2-3,3-4-3,https://www.foxsports.com/soccer/fifa-world-cup-men-mexico-vs-south-korea-jun-18-2026-game-boxscore-647643,verified
2026-06-19_match-29,29,2026-06-19,C,BRA,Brasil,3,HTI,Haití,0,3,3,BRA,1,57.0,43.0,9,8,5,4,1.47,0.54,2.01,0.9299999999999999,5,6,4,4,1,3,0,0,4-4-2,5-4-1,https://www.foxsports.com/soccer/fifa-world-cup-men-brazil-vs-haiti-jun-19-2026-game-boxscore-647647,verified
2026-06-19_match-30,30,2026-06-19,C,SCO,Escocia,0,MAR,Marruecos,1,1,1,MAR,2,40.0,60.0,6,12,0,3,0.95,1.12,2.0700000000000003,0.17000000000000015,5,9,2,5,1,1,0,0,3-5-2,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-scotland-vs-morocco-jun-19-2026-game-boxscore-647646,verified
2026-06-19_match-31,31,2026-06-19,D,TUR,Turquía,0,PAR,Paraguay,1,1,1,PAR,2,78.0,22.0,33,6,6,2,2.47,0.41,2.8800000000000003,2.06,26,4,12,0,1,1,0,1,4-2-3-1,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-turkiye-vs-paraguay-jun-19-2026-game-boxscore-647644,verified
2026-06-19_match-32,32,2026-06-19,D,USA,Estados Unidos,2,AUS,Australia,0,2,2,USA,1,63.0,37.0,8,5,2,2,0.55,0.4,0.9500000000000001,0.15000000000000002,6,3,7,4,3,4,0,0,4-2-3-1,5-4-1,https://www.foxsports.com/soccer/fifa-world-cup-men-united-states-vs-australia-jun-19-2026-game-boxscore-647645,verified
2026-06-20_match-33,33,2026-06-20,E,GER,Alemania,2,CIV,Costa de Marfil,1,3,1,GER,1,59.0,41.0,11,8,2,2,0.79,0.64,1.4300000000000002,0.15000000000000002,9,3,7,2,0,0,0,0,3-4-3,4-3-3,https://www.foxsports.com/soccer/fifa-world-cup-men-germany-vs-ivory-coast-jun-20-2026-game-boxscore-647649,verified
2026-06-20_match-34,34,2026-06-20,E,ECU,Ecuador,0,CUW,Curazao,0,0,0,,X,75.0,25.0,26,10,15,4,2.16,0.45,2.6100000000000003,1.7100000000000002,20,6,9,0,1,5,0,0,3-5-2,5-3-2,https://www.foxsports.com/soccer/fifa-world-cup-men-ecuador-vs-curacao-jun-20-2026-game-boxscore-647650?tab=boxscore,verified
2026-06-20_match-35,35,2026-06-20,F,NED,Países Bajos,5,SWE,Suecia,1,6,4,NED,1,52.0,48.0,12,21,7,10,2.19,1.23,3.42,0.96,11,11,2,5,0,3,0,0,4-3-3,3-5-2,https://www.foxsports.com/soccer/fifa-world-cup-men-netherlands-vs-sweden-jun-20-2026-game-boxscore-647648,verified
2026-06-20_match-36,36,2026-06-20,F,TUN,Túnez,0,JPN,Japón,4,4,4,JPN,2,43.0,57.0,3,10,1,5,0.18,1.73,1.91,1.55,2,8,3,5,0,0,0,0,5-3-2,3-4-3,https://www.foxsports.com/soccer/fifa-world-cup-men-tunisia-vs-japan-jun-21-2026-game-boxscore-647651?tab=boxscore,verified
2026-06-21_match-37,37,2026-06-21,H,URU,Uruguay,2,CPV,Cabo Verde,2,4,0,,X,66.0,34.0,16,11,2,4,1.92,0.7,2.62,1.22,8,4,11,4,2,2,0,0,4-2-3-1,4-1-4-1,https://www.foxsports.com/soccer/fifa-world-cup-men-uruguay-vs-cape-verde-jun-21-2026-game-boxscore-647654?tab=boxscore,verified
2026-06-21_match-38,38,2026-06-21,H,ESP,España,4,KSA,Arabia Saudí,0,4,4,ESP,1,65.0,35.0,21,3,9,1,1.82,0.09,1.9100000000000001,1.73,12,2,6,1,0,2,0,0,4-1-2-3,4-4-2,https://www.foxsports.com/soccer/fifa-world-cup-men-spain-vs-saudi-arabia-jun-21-2026-game-boxscore-647652?tab=boxscore,verified
2026-06-21_match-39,39,2026-06-21,G,BEL,Bélgica,0,IRI,Irán,0,0,0,,X,68.0,32.0,22,7,7,3,1.39,0.72,2.11,0.6699999999999999,14,5,4,2,1,1,1,0,4-2-3-1,4-3-3,https://www.foxsports.com/soccer/fifa-world-cup-men-belgium-vs-iran-jun-21-2026-game-boxscore-647653?tab=boxscore,verified
2026-06-21_match-40,40,2026-06-21,G,NZL,Nueva Zelanda,1,EGY,Egipto,3,4,2,EGY,2,44.0,56.0,10,19,5,7,1.3,1.9,3.2,0.5999999999999999,8,16,4,3,2,1,0,0,4-4-2,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-new-zealand-vs-egypt-jun-21-2026-game-boxscore-647655?tab=boxscore,verified
2026-06-22_match-41,41,2026-06-22,I,NOR,Noruega,3,SEN,Senegal,2,5,1,NOR,1,43.0,57.0,12,17,6,6,1.9,1.59,3.49,0.30999999999999983,8,12,5,4,0,0,0,0,4-1-2-3,4-3-3,https://www.foxsports.com/soccer/fifa-world-cup-men/norway-vs-senegal-jun-22-2026-game-boxscore-647658?tab=boxscore,verified
2026-06-22_match-42,42,2026-06-22,I,FRA,Francia,3,IRQ,Irak,0,3,3,FRA,1,56.0,44.0,19,4,5,0,2.06,0.17,2.23,1.8900000000000001,10,2,4,2,0,1,0,0,4-2-3-1,4-5-1,https://www.foxsports.com/soccer/fifa-world-cup-men/france-vs-iraq-jun-22-2026-game-boxscore-647657?tab=boxscore,verified
2026-06-22_match-43,43,2026-06-22,J,ARG,Argentina,2,AUT,Austria,0,2,2,ARG,1,54.0,46.0,12,6,3,1,1.82,0.51,2.33,1.31,5,4,1,3,2,2,0,0,4-4-2,4-2-3-1,https://www.foxsports.com/soccer/fifa-world-cup-men-argentina-vs-austria-jun-22-2026-game-boxscore-647656?tab=boxscore,verified
2026-06-22_match-44,44,2026-06-22,J,JOR,Jordania,1,DZA,Argelia,2,3,1,DZA,2,26.0,74.0,9,16,4,8,1.0,1.64,2.6399999999999997,0.6399999999999999,6,12,1,9,1,1,0,0,3-4-3,4-3-3,https://www.espn.com/soccer/match/_/gameId/760455/algeria-jordan,verified
